# expressionID, sessionQuesID, expTimestamp, gender, glasses, age, ethnicity, joy, sadness, disgust, contempt, anger, fear, surprise, valence, engagement, smile, innerBrowRaise, browRaise, browFurrow, noseWrinkle, upperLipRaise, lipCornerDepressor, chinRaise, lipPucker, lipPress, lipSuck, mouthOpen, smirk, eyeClosure, attention, lidTighten, jawDrop, dimpler, eyeWiden, cheekRaise, lipStretch
98, 1, 1511889347640, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 4, 91, 100, 100, 0, 0, 0, 9, 0, 0, 0, 0, 13, 1, 100, 0, 0, 99, 0, 28, 0, 0, 43, 0
99, 1, 1511889347840, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 3, 91, 100, 100, 0, 0, 0, 5, 0, 0, 0, 0, 21, 0, 100, 0, 0, 98, 0, 14, 0, 0, 48, 0
100, 1, 1511889348138, Female, No, 18 - 24, East Asian, 100, 0, 0, 0, 0, 0, 3, 84, 100, 96, 0, 0, 0, 1, 0, 0, 0, 0, 48, 0, 99, 0, 0, 98, 1, 8, 0, 0, 81, 0
101, 1, 1511889348321, Female, No, 18 - 24, East Asian, 0, 0, 2, 0, 0, 0, 2, 18, 42, 7, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 95, 0, 0, 98, 1, 4, 0, 0, 60, 0
102, 1, 1511889348419, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 17, 2, 26, 0, 0, 98, 0, 1, 0, 0, 65, 0
103, 1, 1511889348535, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 10, 0, 0, 98, 0, 0, 0, 0, 19, 0
104, 1, 1511889348652, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 3, 0, 0, 0, 98, 0, 0, 0, 0, 26, 0
105, 1, 1511889348797, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 2, 0, 0, 0, 98, 0, 0, 0, 0, 25, 0
106, 1, 1511889348929, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 2, 0, 0, 0, 98, 0, 0, 0, 0, 21, 0
107, 1, 1511889349004, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 28, 1, 0, 0, 0, 98, 0, 0, 0, 0, 27, 0
