# gazeID, sessionQuesID, gazeTimestamp, x, y, confidence
824, 9, 1511889753695, 360.169, 557.052, 0.334437
825, 9, 1511889753802, 344.132, 521.797, 0.396002
826, 9, 1511889753897, 309.918, 457.735, 0.682523
827, 9, 1511889753996, 301.771, 470.47, 0.637752
828, 9, 1511889754057, 304.992, 467.261, 0.493237
829, 9, 1511889754101, 343.532, 496.494, 0.262516
830, 9, 1511889754197, 365.399, 512.943, 0.257693
831, 9, 1511889754290, 351.271, 504.026, 0.359677
832, 9, 1511889754366, 352.714, 526.228, 0.31536
833, 9, 1511889754463, 365.259, 518.528, 0.303539
834, 9, 1511889754504, 379.157, 537.587, 0.239761
835, 9, 1511889754677, 400.052, 573.126, 0.260469
836, 9, 1511889754762, 406.088, 594.514, 0.358516
837, 9, 1511889754869, 397.61, 604.821, 0.321061
838, 9, 1511889754902, 397.865, 623.686, 0.476125
839, 9, 1511889754995, 389.466, 619.04, 0.295792
840, 9, 1511889755070, 416.132, 623.615, 0.442959
841, 9, 1511889755167, 389.266, 594.626, 0.275805
842, 9, 1511889755263, 405.19, 588.893, 0.271143
843, 9, 1511889755315, 424.429, 596.242, 0.427502
844, 9, 1511889755399, 492.305, 604.353, 0.450725
845, 9, 1511889755562, 435.743, 578.922, 0.212545
846, 9, 1511889755707, 432.804, 557.366, 0.480642
847, 9, 1511889755740, 423.244, 568.313, 0.12003
848, 9, 1511889755857, 458.579, 561.274, 0.510231
849, 9, 1511889755941, 462.089, 563.961, 0.26553
850, 9, 1511889756039, 446.772, 578.816, 0.338373
851, 9, 1511889756095, 436.324, 585.69, 0.138239
852, 9, 1511889756189, 532.825, 583.743, 0.215771
853, 9, 1511889756296, 519.589, 585.756, 0.153168
854, 9, 1511889756358, 565.21, 584.571, 0.199796
855, 9, 1511889756401, 608.839, 585.83, 0.345032
856, 9, 1511889756507, 611.314, 588.488, 0.224463
857, 9, 1511889756667, 1077.33, 695.76, 0.848525
858, 9, 1511889756698, 1014.38, 653.829, 0.831893
859, 9, 1511889756941, 748.313, 612.565, 0.246118
860, 9, 1511889757005, 687.05, 606.441, 0.185606
861, 9, 1511889757212, 554.959, 594.386, 0.200942
862, 9, 1511889757373, 556.612, 584.633, 0.301906
863, 9, 1511889757468, 582.872, 585.124, 0.281958
864, 9, 1511889757500, 592.586, 576.093, 0.408947
865, 9, 1511889757703, 592.687, 577.149, 0.323988
866, 9, 1511889757798, 577.613, 588.975, 0.19848
867, 9, 1511889757897, 572.01, 591.664, 0.271516
